[1779615865] Trying slug: btc-updown-5m-1779615600
[1779615866] Market: Bitcoin Up or Down - May 24, 5:40AM-5:45AM ET | Bid: 50¢
[1779615868] ⏱️ 32s | 💰 Price: 65¢ | Size: 21 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 67¢ | Size: 26 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 397 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 85¢ | Size: 682 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 387 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11262 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 82¢ | Size: 0 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 80¢ | Size: 17 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11762 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 84¢ | Size: 38 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 395 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 406 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 414 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 77¢ | Size: 42 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11262 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11257 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 438 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 80¢ | Size: 5 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 428 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 85¢ | Size: 678 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 411 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 81¢ | Size: 30 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 376 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11262 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 359 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 342 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 317 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 298 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 276 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 286 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 3¢ | Size: 1172 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 262 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 243 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 249 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 284 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 302 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 320 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 312 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 304 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 328 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 363 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 381 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 370 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 388 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 407 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 422 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 85¢ | Size: 660 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 415 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11762 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 81¢ | Size: 25 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 422 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 440 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11767 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 458 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 452 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 466 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 80¢ | Size: 10 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 486 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 1¢ | Size: 11762 | Bid: 83¢ | Momentum: +0.00%
[1779615868] ⏱️ 32s | 💰 Price: 83¢ | Size: 468 | Bid: 83¢ | Momentum: +0.00%
